service,method,path,declared_statuses,observed_statuses,missing_statuses,unexpected_statuses,observation_count,example_test,example_classification
accounting,POST,/api/v1/accounting-external-api/bonuses/accrue-customer-points,201|422,,201|422,,0,,
accounting,POST,/api/v1/accounting-external-api/bonuses/activate-customer-points,200|422,,200|422,,0,,
accounting,GET,/api/v1/accounting-external-api/bonuses/balance,200|422,,200|422,,0,,
accounting,GET,/api/v1/accounting-external-api/bonuses/customer-points-balance,200|422,,200|422,,0,,
accounting,GET,/api/v1/accounting-external-api/bonuses/customer-points-history,200|422,,200|422,,0,,
accounting,POST,/api/v1/accounting-external-api/bonuses/hold,201|422,,201|422,,0,,
accounting,PATCH,/api/v1/accounting-external-api/bonuses/hold/{hold_id},200|422,,200|422,,0,,
accounting,POST,/api/v1/accounting-external-api/gift-certificates/activate,200|422,,200|422,,0,,
accounting,POST,/api/v1/accounting-external-api/gift-certificates/credit,200|422,,200|422,,0,,
accounting,POST,/api/v1/accounting-external-api/gift-certificates/debit,200|422,,200|422,,0,,
accounting,POST,/api/v1/accounting-external-api/gift-certificates/refund,200|422,,200|422,,0,,
accounting,POST,/api/v1/accounting-external-api/gift-certificates/validate,200|422,,200|422,,0,,
accounting,GET,/api/v1/accounting-external-api/orders,200|422,200,422,,1,tests/accounting/test_orders.py::test_list_orders,business
accounting,POST,/api/v1/accounting-external-api/orders,201|422,201,422,,1,tests/accounting/test_orders.py::test_create_and_update_order,business
accounting,POST,/api/v1/accounting-external-api/orders/calculate,200|422,200,422,,1,tests/accounting/test_orders.py::test_calculate_order,business
accounting,GET,/api/v1/accounting-external-api/orders/{external_order_id},200|422,,200|422,,0,,
accounting,PATCH,/api/v1/accounting-external-api/orders/{external_order_id},200|422,,200|422,,0,,
accounting,PATCH,/api/v1/accounting-external-api/orders/{external_order_id}/items/{external_line_id},200|422,,200|422,,0,,
accounting,GET,/api/v1/accounting-external-api/product,200|401|422|500,200,401|422|500,,1,tests/accounting/test_products.py::test_list_products,business
accounting,POST,/api/v1/accounting-external-api/product,201|400|401|409|422|500,201,400|401|409|422|500,,1,tests/accounting/test_products.py::test_create_product,business
accounting,POST,/api/v1/accounting-external-api/product/bulk,200|400|401|422|500,200,400|401|422|500,,1,tests/accounting/test_products.py::test_create_products_bulk,business
accounting,GET,/api/v1/accounting-external-api/product/{product_id},200|400|401|404|422|500,,200|400|401|404|422|500,,0,,
accounting,GET,/api/v1/accounting-external-api/product_category,200|401|422|500,,200|401|422|500,,0,,
accounting,GET,/api/v1/accounting-external-api/product_category/{product_category_id},200|422,,200|422,,0,,
accounting,POST,/api/v1/accounting-external-api/promocodes/assign,200|404|409|422,,200|404|409|422,,0,,
accounting,POST,/api/v1/accounting-external-api/promotions/apply,200|422,,200|422,,0,,
accounting,POST,/api/v1/accounting-external-api/promotions/apply-to-item,200|422,,200|422,,0,,
accounting,POST,/api/v1/accounting-external-api/promotions/available,200|422,,200|422,,0,,
accounting,POST,/api/v1/accounting-external-api/promotions/preview,200|422,,200|422,,0,,
accounting,POST,/api/v1/accounting-external-api/promotions/remove,200|422,,200|422,,0,,
accounting,GET,/api/v1/accounting/ping,200,,200,,0,,
accounting,GET,/health,200,,200,,0,,
crm,POST,/api/v1/crm-external-integrations/campaigns/automatic/send,200|422,,200|422,,0,,
crm,POST,/api/v1/crm-external-integrations/customer-actions,201|401|422|429|500,,201|401|422|429|500,,0,,
crm,POST,/api/v1/crm-external-integrations/customer-actions/bulk,200|422,,200|422,,0,,
crm,PATCH,/api/v1/crm-external-integrations/customers,200|207|400|401|422|429|500,,200|207|400|401|422|429|500,,0,,
crm,POST,/api/v1/crm-external-integrations/customers,200|207|400|401|422|429|500,,200|207|400|401|422|429|500,,0,,
crm,POST,/api/v1/crm-external-integrations/customers/search,200|400|401|422|429|500,,200|400|401|422|429|500,,0,,
crm,POST,/api/v1/crm-external-integrations/devices,201|422,,201|422,,0,,
crm,DELETE,/api/v1/crm-external-integrations/devices/assign,200|422,,200|422,,0,,
crm,POST,/api/v1/crm-external-integrations/devices/assign,200|422,,200|422,,0,,
crm,GET,/api/v1/customers/ping,200,,200,,0,,
crm,GET,/health,200,,200,,0,,
